distance,kicker,result,target
31,M.Gay,Make,1
35,J.Myers,Miss,0
32,J.Myers,Make,1
47,M.Gay,Make,1
31,Y.Koo,Make,1
31,M.Ammendola,Make,1
52,Y.Koo,Make,1
49,M.Ammendola,Make,1
39,A.Seibert,Make,1
38,G.Joseph,Make,1
38,G.Joseph,Make,1
52,A.Seibert,Make,1
55,G.Joseph,Make,1
49,G.Joseph,Miss,0
40,A.Seibert,Make,1
54,G.Joseph,Make,1
45,D.Hopkins,Make,1
23,D.Hopkins,Make,1
24,D.Hopkins,Make,1
33,K.Fairbairn,Make,1
52,N.Folk,Make,1
52,N.Folk,Make,1
32,N.Folk,Make,1
56,K.Fairbairn,Miss,0
21,N.Folk,Make,1
23,J.Sanders,Make,1
42,R.Succop,Make,1
60,B.Pinion,Miss,0
44,M.Crosby,Make,1
44,M.Crosby,Make,1
22,M.Crosby,Make,1
36,M.Crosby,Miss,0
57,E.McPherson,Miss,0
51,M.Crosby,Miss,0
40,M.Crosby,Miss,0
49,E.McPherson,Miss,0
49,M.Crosby,Make,1
39,B.McManus,Make,1
48,C.Boswell,Make,1
29,B.McManus,Make,1
43,C.Boswell,Make,1
48,Z.Gonzalez,Make,1
30,J.Elliott,Make,1
43,Z.Gonzalez,Make,1
58,J.Elliott,Make,1
50,Z.Gonzalez,Make,1
53,M.Wright,Miss,0
34,R.Bullock,Make,1
35,C.McLaughlin,Make,1
31,C.McLaughlin,Make,1
31,D.Carlson,Make,1
46,C.Santos,Make,1
46,C.Santos,Make,1
21,M.Prater,Make,1
61,M.Prater,Miss,0
47,J.Slye,Make,1
54,G.Gano,Miss,0
31,G.Zuerlein,Make,1
51,G.Gano,Make,1
51,G.Gano,Make,1
38,G.Zuerlein,Make,1
31,G.Zuerlein,Make,1
38,H.Butker,Make,1
30,T.Bass,Make,1
54,H.Butker,Make,1
23,J.Tucker,Make,1
37,R.Blankenship,Make,1
43,R.Blankenship,Make,1
37,R.Blankenship,Make,1
47,R.Blankenship,Miss,0
31,G.Zuerlein,Miss,0
35,G.Zuerlein,Make,1
60,G.Zuerlein,Miss,0
